g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
0.5,dvr,9,none,none,10,10,-1.4947391356182498,0.16794868520208275
0.5,m,9,none,none,20,10,-1.5120058497558395,0.003102661223212626
0.5,dvr,9,none,none,20,10,-1.5120039831424767,0.0035423830565232688
0.5,m,9,none,none,50,10,-1.5120062598192163,0.002540256365972376
0.5,dvr,9,none,none,50,10,-1.512006274056624,0.0025405319317932996
0.5,m,9,none,none,10,5,-0.6490432380658362,0.005343253691985927
0.5,dvr,9,none,none,10,5,-0.4111289000458053,0.18917753199276047
0.5,m,9,none,none,20,5,-0.6490638923022054,0.0019182498264494587
0.5,dvr,9,none,none,20,5,-0.6394223972372355,0.16200677502914052
0.5,m,9,none,none,50,5,-0.6490638935761197,0.0019183245705445065
0.5,dvr,9,none,none,50,5,-0.6490638975175322,0.0019188667462429715
0.5,m,9,none,none,10,3,-0.31031408526185633,0.041557644109955716
0.5,dvr,9,none,none,10,3,-0.3107662098996468,0.0263183244231709
0.5,m,9,none,none,20,3,-0.3112149858247292,0.00020355198239433084
0.5,dvr,9,none,none,20,3,-0.31121499474912284,0.0001678612395287508
0.5,m,9,none,none,50,3,-0.3112149954501362,0.0001646539183686148
0.5,dvr,9,none,none,50,3,-0.31121499635334615,0.00016515340878800998
0.2,m,9,none,none,10,10,-0.22683081458191268,0.015645431953754965
0.2,dvr,9,none,none,10,10,-0.22700533358961295,0.0015562144139873938
0.2,m,9,none,none,20,10,-0.22700550083751025,0.0013230307795299586
0.2,dvr,9,none,none,20,10,-0.2270055008441787,0.0013229837514924813
0.2,m,9,none,none,50,10,-0.22700550079711945,0.0013234162839823708
0.2,dvr,9,none,none,50,10,-0.22700550079472492,0.0013234529890993282
0.2,m,9,none,none,10,5,-0.10058901976363306,0.001254316131529621
0.2,dvr,9,none,none,10,5,-0.10039810807493345,0.03530836764598663
0.2,m,9,none,none,20,5,-0.10058964516901625,0.0008422209599899106
0.2,dvr,9,none,none,20,5,-0.10058964516984048,0.0008422142950322144
0.2,m,9,none,none,50,5,-0.10058964516545643,0.000842276709047896
0.2,dvr,9,none,none,50,5,-0.10058964516844071,0.0008422362088029538
0.2,m,9,none,none,10,3,-0.04994537239439982,0.015944457749326894
0.2,dvr,9,none,none,10,3,-0.05001259684476228,0.005226341397807316
0.2,m,9,none,none,20,3,-0.05002712923137409,0.00042913159271047924
0.2,dvr,9,none,none,20,3,-0.05002712923500141,0.00042912862657330336
0.2,m,9,none,none,50,3,-0.05002712923699448,0.0004291263366115873
0.2,dvr,9,none,none,50,3,-0.05002712923710462,0.00042912665650298045
2.0,m,4,none,none,10,10,-16.221924267570174,0.0023942247396810633
2.0,dvr,4,none,none,10,10,-23.739820448624886,0.0017209325544081733
2.0,m,4,none,none,20,10,-16.221924267570195,0.002394224597229723
2.0,dvr,4,none,none,20,10,-23.73982044864374,0.0017208451862779715
2.0,m,4,none,none,50,10,-16.221924267570184,0.002394224822777675
2.0,dvr,4,none,none,50,10,-23.73982044870037,0.0017205825597094084
2.0,m,4,none,none,10,5,-6.935227006326312,0.021136817275127395
2.0,dvr,4,none,none,10,5,-10.052661415041664,0.001050889294265526
2.0,m,4,none,none,20,5,-6.937297206621975,0.006419080722617948
2.0,dvr,4,none,none,20,5,-10.052661427170678,0.0010190599754815906
2.0,m,4,none,none,50,5,-6.939282955141948,0.005310724512533591
2.0,dvr,4,none,none,50,5,-10.05266145742611,0.000945540874489341
2.0,m,4,none,none,10,3,-3.2679264925443916,0.002349870591196057
2.0,dvr,4,none,none,10,3,-4.582143243582574,0.002193977411657627
2.0,m,4,none,none,20,3,-3.2679449720949187,0.00043027884019021024
2.0,dvr,4,none,none,20,3,-4.582193573146045,0.001962007745290774
2.0,m,4,none,none,50,3,-3.2679456297442333,2.7660023332052485e-6
2.0,dvr,4,none,none,50,3,-4.582298637663142,0.001481910894508196
1.7,m,4,none,none,10,10,-12.937264227728567,0.0022099441222188675
1.7,dvr,4,none,none,10,10,-18.74294738689944,0.000891258875899512
1.7,m,4,none,none,20,10,-12.937264227728589,0.0022099440579147304
1.7,dvr,4,none,none,20,10,-18.742947386899466,0.0008912590991252734
1.7,m,4,none,none,50,10,-12.937264227728582,0.002209944051484317
1.7,dvr,4,none,none,50,10,-18.742947386899445,0.0008912593542403606
1.7,m,4,none,none,10,5,-5.495329078655418,0.013060250940543083
1.7,dvr,4,none,none,10,5,-7.872819406114271,0.0012081428465024995
1.7,m,4,none,none,20,5,-5.49691291462993,0.016233907311488043
1.7,dvr,4,none,none,20,5,-7.872819693207907,0.0008236400975006236
1.7,m,4,none,none,50,5,-5.5008985408620426,0.004336326152519712
1.7,dvr,4,none,none,50,5,-7.872820029746592,0.0005628349611162578
1.7,m,4,none,none,10,3,-2.5741063621566695,0.0013189691333080548
1.7,dvr,4,none,none,10,3,-3.533507209824793,0.003535856863530349
1.7,m,4,none,none,20,3,-2.5741113170436627,0.00013303400536630777
1.7,dvr,4,none,none,20,3,-3.533617135618611,0.0027286895670589153
1.7,m,4,none,none,50,3,-2.574111368131868,1.6858739404357614e-7
1.7,dvr,4,none,none,50,3,-3.533759408162419,0.0013761344898408421
1.3,m,4,none,none,10,10,-8.683210479731002,0.0016296169576131365
1.3,dvr,4,none,none,10,10,-12.308453973961399,0.0014389920190259898
1.3,m,4,none,none,20,10,-8.683210479731018,0.0016296168660493012
1.3,dvr,4,none,none,20,10,-12.30845397396151,0.0014389920190259898
1.3,m,4,none,none,50,10,-8.683210479731006,0.0016296170404566021
1.3,dvr,4,none,none,50,10,-12.308453973961846,0.0014389918511414283
1.3,m,4,none,none,10,5,-3.646380273453563,0.02041563258993614
1.3,dvr,4,none,none,10,5,-5.085384658800364,0.0031383182593602977
1.3,m,4,none,none,20,5,-3.649098370431957,0.012917650348617967
1.3,dvr,4,none,none,20,5,-5.085447241208833,0.004961136892423163
1.3,m,4,none,none,50,5,-3.650247165056515,0.001369786599112987
1.3,dvr,4,none,none,50,5,-5.08556975349784,0.002825935570749634
1.3,m,4,none,none,10,3,-1.6951062527458387,0.00038556318954411674
1.3,dvr,4,none,none,10,3,-2.2208472943316715,0.004273291935273363
1.3,m,4,none,none,20,3,-1.6951065103554224,1.0740254207278963e-5
1.3,dvr,4,none,none,20,3,-2.22093709742453,0.0018386563607256739
1.3,m,4,none,none,50,3,-1.6951065105669625,2.9802322387695312e-8
1.3,dvr,4,none,none,50,3,-2.220959079534018,0.00016145499678173222
0.8,m,4,none,none,10,10,-3.759557620691387,0.008711637370926756
0.8,dvr,4,none,none,10,10,-5.012593802482816,0.0013955891414797164
0.8,m,4,none,none,20,10,-3.76133509675076,0.0030444634022779543
0.8,dvr,4,none,none,20,10,-5.012597391452611,0.0014781466647227908
0.8,m,4,none,none,50,10,-3.7613995232775475,0.0016125827277314938
0.8,dvr,4,none,none,50,10,-5.012613664522063,0.0014724597428349237
0.8,m,4,none,none,10,5,-1.566811527695166,0.0010994999881426665
0.8,dvr,4,none,none,10,5,-1.9903410632088154,0.03327350289063591
0.8,m,4,none,none,20,5,-1.5668115871218031,0.001080260460902988
0.8,dvr,4,none,none,20,5,-1.9954409110650901,0.01621006579588584
0.8,m,4,none,none,50,5,-1.5668115871267743,0.0010802673898797465
0.8,dvr,4,none,none,50,5,-1.9968513754055552,0.0007771183094134351
0.8,m,4,none,none,10,3,-0.7354086960154896,9.722325398816304e-6
0.8,dvr,4,none,none,10,3,-0.8607450472888789,5.2331419586158364e-5
0.8,m,4,none,none,20,3,-0.7354086961049725,2.7877519926234643e-8
0.8,dvr,4,none,none,20,3,-0.8607450512146195,7.964109579660189e-7
0.8,m,4,none,none,50,3,-0.735408696104973,1.4901161193847656e-8
0.8,dvr,4,none,none,50,3,-0.860745051215544,1.0536712127723509e-8
0.5,m,4,none,none,10,10,-1.4415460613900741,0.0009324299637303122
0.5,dvr,4,none,none,10,10,-1.665995252035792,0.005243774728909846
0.5,m,4,none,none,20,10,-1.441546061407215,0.0009324597075610654
0.5,dvr,4,none,none,20,10,-1.6660177209529312,0.0013670723446628085
0.5,m,4,none,none,50,10,-1.4415460614072169,0.0009324597008934861
0.5,dvr,4,none,none,50,10,-1.6660177209601947,0.0013670752955688408
0.5,m,4,none,none,10,5,-0.6253701816513306,0.00040736793715454185
0.5,dvr,4,none,none,10,5,-0.6961056256104164,0.0006199237894266001
0.5,m,4,none,none,20,5,-0.6253701816513431,0.0004073680463732056
0.5,dvr,4,none,none,20,5,-0.696105671051721,0.00039540361974327326
0.5,m,4,none,none,50,5,-0.6253701816513431,0.00040736804610066996
0.5,dvr,4,none,none,50,5,-0.6961056710517264,0.0003954036596845407
0.5,m,4,none,none,10,3,-0.3035738622299495,1.2198206962361552e-6
0.5,dvr,4,none,none,10,3,-0.32541093428245543,5.096188958793082e-6
0.5,m,4,none,none,20,3,-0.3035738622308535,6.452392069879462e-9
0.5,dvr,4,none,none,20,3,-0.3254109343004366,6.452392069879462e-9
0.5,m,4,none,none,50,3,-0.30357386223085336,8.33000234328132e-9
0.5,dvr,4,none,none,50,3,-0.3254109343004366,1.1175870895385742e-8
0.2,m,4,none,none,10,10,-0.22551126639796681,0.0008454586530312798
0.2,dvr,4,none,none,10,10,-0.2291810391058009,0.0010540611353482055
0.2,m,4,none,none,20,10,-0.22551126641635566,0.000845327755610064
0.2,dvr,4,none,none,20,10,-0.22918105212119322,0.0009966302801930435
0.2,m,4,none,none,50,10,-0.2255112664177661,0.0008453176819334027
0.2,dvr,4,none,none,50,10,-0.22918104702069808,0.0010154546968160923
0.2,m,4,none,none,10,5,-0.10000793884718906,0.0004163919521827725
0.2,dvr,4,none,none,10,5,-0.10145526425683027,0.0005134445279536681
0.2,m,4,none,none,20,5,-0.10000793884730541,0.00041639030297718527
0.2,dvr,4,none,none,20,5,-0.10145526425683116,0.0005134445277678452
0.2,m,4,none,none,50,5,-0.10000793884730719,0.00041639029829865535
0.2,dvr,4,none,none,50,5,-0.10145526425682938,0.0005134445281057052
