,dmrg_duration,bondsize,memory,mmax,Nsites,interaction,basis,E_angle,E_strength,g,istate,energy,SvN,renyi,mux,muy,xcorr,ycorr,corr
28,3.712440865,17,250887560,4,6,nearest,all,1.5707963267948966,0.0,1.5000000000000002,1,-6.602945103703128,0.7309439942836046,0.3522004510188624,-1.4397674360564114e-10,-1.2105660805370612e-26,3.3246926031520254,-0.2423190552202479,0.6164747095863554
29,352.213189948,25,29824521600,4,6,nearest,all,1.5707963267948966,0.0,1.5000000000000002,2,-6.6020741974740815,0.7308026139670973,0.352472902848876,1.473499778389111e-09,1.6885657970666924e-17,3.3275598388279035,-0.2406296431007183,0.6173860391454371
30,3.535587259,16,238548968,4,6,nearest,all,1.5707963267948966,0.0,1.6,1,-7.297439669715466,0.7305302622193661,0.3522666488401772,-2.8469262075707593e-10,3.3380925594054037e-26,3.380635865322085,-0.2349769593248489,0.6291317811994472
31,367.360039303,25,30874524528,4,6,nearest,all,1.5707963267948966,0.0,1.6,2,-7.296887617225384,0.730392350058278,0.3524100707323252,-2.1475420981821334e-09,1.3274322378886889e-17,3.3824168201414984,-0.2338875971752465,0.6297058445932504
32,3.647940453,16,233331560,4,6,nearest,all,1.5707963267948966,0.0,1.7000000000000002,1,-8.001844268598624,0.7301435690193868,0.3522774619205712,-3.114631757118561e-10,6.565879192404574e-26,3.430936531900937,-0.2283669364584827,0.640513919088491
33,342.589676851,24,29032642544,4,6,nearest,all,1.5707963267948966,0.0,1.7000000000000002,2,-8.001488450492442,0.7300264217333416,0.3523536218914297,3.1148363967942153e-10,8.100013001413832e-19,3.43206258357899,-0.2276548078161396,0.6408815551525702
34,3.537326697,16,229907256,4,6,nearest,all,1.5707963267948966,0.0,1.8000000000000005,1,-8.715196714671961,0.7297925800903908,0.3522623145254709,-3.0254050484570197e-10,-2.593560820900058e-26,3.476554889594337,-0.2223539765172672,0.6508401826154139
35,355.322349682,24,29085416880,4,6,nearest,all,1.5707963267948966,0.0,1.8000000000000005,2,-8.714963944429073,0.7296992203107573,0.3523029040920847,3.0254184986533163e-10,1.0116695707914973e-18,3.4772778918945555,-0.2218828401439748,0.6510790103501162
36,3.892647231,16,229907992,4,6,nearest,all,1.5707963267948966,0.0,1.9,1,-9.43669106511826,0.7294776605577041,0.3522356913721303,-1.5475103235148037e-10,-1.4844255563848822e-26,3.518219044706875,-0.2168403915099058,0.6602757306393938
37,342.813265992,23,28479022816,4,6,nearest,all,1.5707963267948966,0.0,1.9,2,-9.436536707529507,0.7294056401241485,0.3522572550811778,1.5472783720277095e-10,-7.269765914663614e-19,3.5186902430719407,-0.2165250542013587,0.6604330377741163
38,3.496186027,16,225649816,4,6,nearest,all,1.5707963267948966,0.0,2.0,1,-10.165641639068728,0.7291953763202521,0.3522046993098959,4.6462302465191085e-10,-2.177449455806425e-26,3.5564980481219184,-0.211751810031318,0.66894924761812
39,340.298527843,23,28516306656,4,6,nearest,all,1.5707963267948966,0.0,2.0,2,-10.165538069074609,0.7291412180393821,0.3522160577733588,-4.6471302109144156e-10,1.139457763340818e-17,3.556809152554269,-0.211538711912294,0.6690540881283951
40,3.468809017,16,225147704,4,6,nearest,all,1.5707963267948966,0.0,2.1,1,-10.901457994818482,0.7289426336961852,0.3521729331487387,2.554933262737004e-09,2.2805049085393237e-25,3.5918447338866155,-0.207031078429893,0.6769627310913445
41,328.626814082,22,27826907344,4,6,nearest,all,1.5707963267948966,0.0,2.1,2,-10.901387674894645,0.7289020805311991,0.3521787560454244,-2.555333571476215e-09,1.0755801183412264e-17,3.592052594526485,-0.2068855914167024,0.6770334006219565
